date,event_id,count,wcount
2026-08-02,fed-politicization-2026,10,
2026-08-02,iran-war-2026,56,
2026-08-02,ai-valuation-2024,106,
2026-08-03,fed-politicization-2026,27,33.5
2026-08-03,iran-war-2026,79,105.0
2026-08-03,ai-valuation-2024,163,191.0
2026-08-03,tariff-shock-2025,34,38.0
2026-08-04,fed-politicization-2026,18,23.0
2026-08-04,iran-war-2026,59,82.0
2026-08-04,ai-valuation-2024,182,227.0
2026-08-04,tariff-shock-2025,53,72.5
2026-08-05,fed-politicization-2026,11,15.0
2026-08-05,iran-war-2026,68,92.5
2026-08-05,ai-valuation-2024,194,229.0
2026-08-05,tariff-shock-2025,45,62.5
2026-08-06,fed-politicization-2026,21,29.0
2026-08-06,iran-war-2026,61,84.0
2026-08-06,ai-valuation-2024,215,266.5
2026-08-06,tariff-shock-2025,63,78.5
2026-08-07,fed-politicization-2026,28,50.0
2026-08-07,iran-war-2026,56,80.5
2026-08-07,ai-valuation-2024,215,258.5
2026-08-07,tariff-shock-2025,48,64.5
